Date,Price,Open,High,Low,Vol.,Change %
2015.10.05,118.92,119.57,119.64,118.87,134.77K,-0.68
2015.10.06,118.8,118.92,118.99,118.45,180.03K,-0.1
2015.10.07,118.51,118.62,118.68,118.25,142.40K,-0.24
2015.10.08,118.67,118.74,119.01,118.55,122.97K,0.14
2015.10.09,118.25,118.4,118.66,118.12,130.58K,-0.35
2015.10.12,118.58,118.28,118.67,118.18,53.25K,0.28
2015.10.13,118.46,118.65,118.96,118.4,135.94K,-0.1
2015.10.14,119.21,118.8,119.3,118.75,147.12K,0.63
2015.10.15,119.1,119.19,119.41,118.91,141.82K,-0.09
2015.10.16,118.95,119.1,119.21,118.84,105.88K,-0.13
2015.10.19,118.65,118.77,118.92,118.54,131.71K,-0.25
2015.10.20,118.36,118.84,118.87,118.19,228.02K,-0.24
2015.10.21,118.94,118.48,119.03,118.43,115.58K,0.49
2015.10.22,118.94,118.84,119.11,118.6,141.54K,0
2015.10.23,118.38,119.05,119.05,118.26,139.57K,-0.47
2015.10.26,118.68,118.49,118.76,118.22,100.36K,0.25
2015.10.27,119.34,118.76,119.37,118.67,178.95K,0.56
2015.10.28,118.95,119.27,119.28,118.73,105.31K,-0.33
2015.10.29,117.75,118.5,118.67,117.68,204.06K,-1.01
2015.10.30,117.75,117.8,117.99,117.54,168.59K,0
2015.11.02,117.45,117.72,117.74,117.36,132.47K,-0.25
2015.11.03,117.31,117.63,117.74,117.09,125.56K,-0.12
2015.11.04,117.03,117.18,117.33,116.91,157.39K,-0.24
2015.11.05,117.24,116.96,117.45,116.88,178.67K,0.18
2015.11.06,116.6,117.38,117.64,116.48,187.31K,-0.55
2015.11.09,116.43,116.65,116.68,116.17,147.68K,-0.15
2015.11.10,116.71,116.58,116.87,116.45,134.91K,0.24
2015.11.11,116.58,116.63,116.75,116.45,80.64K,-0.11
2015.11.12,116.85,116.43,116.93,116.41,158.05K,0.23
2015.11.13,117.16,116.87,117.29,116.86,115.96K,0.27
2015.11.16,117.51,117.43,117.58,117.15,118.20K,0.3
2015.11.17,117.15,117.55,117.56,117.01,122.87K,-0.31
2015.11.18,117.58,117.51,117.76,117.37,168.74K,0.37
2015.11.19,117.98,117.72,118.08,117.71,125.19K,0.34
2015.11.20,118.17,117.95,118.24,117.85,109.34K,0.16
2015.11.23,118.06,117.9,118.15,117.69,181.31K,-0.09
2015.11.24,118.29,118.2,118.55,118.14,289.04K,0.19
2015.11.25,118.07,118.23,118.34,117.97,244.11K,-0.19
2015.11.26,118.55,118.1,118.56,118.1,91.80K,0.41
